City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,19.9,85,100,7.39,PN,1693951385
1,parabel',58.6978,81.4825,11.1,98,95,3.55,RU,1693951785
2,blackmans bay,-43.0167,147.3167,10.41,68,95,3.59,AU,1693951383
3,grytviken,-54.2811,-36.5092,-4.06,79,48,4.71,GS,1693951383
4,anzio,41.4853,12.6179,23.89,54,0,2.35,IT,1693951785
5,kapa'a,22.0752,-159.319,29.71,71,0,3.13,US,1693951397
6,punta arenas,-53.15,-70.9167,2.99,67,61,4.96,CL,1693951215
7,invercargill,-46.4,168.35,11.12,99,74,1.79,NZ,1693951409
8,nizhniy kuranakh,58.8353,125.4869,8.7,74,100,2.58,RU,1693951786
9,sodra sandby,56.5667,16.6167,17.72,78,0,3.69,SE,1693951786
10,lihue,21.9789,-159.3672,29.3,63,13,3.06,US,1693951206
11,port-aux-francais,-49.35,70.2167,2.63,81,99,15.17,TF,1693951385
12,vadso,70.0744,29.7487,7.49,81,20,6.69,NO,1693951417
13,bonthe,7.5264,-12.505,25.28,85,99,3.44,SL,1693951787
14,fort saskatchewan,53.7168,-113.2187,17.05,60,100,6.06,CA,1693951712
15,avarua,-21.2078,-159.775,24.03,69,40,8.75,CK,1693951401
16,holualoa,19.6228,-155.9522,28.08,74,20,4.63,US,1693951614
17,bilibino,68.0546,166.4372,1.52,69,95,2.14,RU,1693951406
18,talnakh,69.4865,88.3972,2.34,81,30,0.25,RU,1693951385
19,hermanus,-34.4187,19.2345,8.78,72,35,6.71,ZA,1693951388
20,avsallar,36.616,31.7806,25.7,76,11,0.86,TR,1693951787
21,edinburgh of the seven seas,-37.0676,-12.3116,14.12,87,100,14.27,SH,1693951387
22,winnemucca,40.973,-117.7357,24.03,33,40,1.54,US,1693951788
23,puerto natales,-51.7236,-72.4875,0.62,76,8,1.9,CL,1693951333
24,udachny,66.4167,112.4,-1.97,100,81,4.1,RU,1693951346
25,mount pearl,47.5166,-52.7813,18.03,95,100,1.54,CA,1693951116
26,bethel,41.3712,-73.414,31.14,71,100,2.72,US,1693951398
27,bredasdorp,-34.5322,20.0403,6.77,80,4,4.04,ZA,1693951395
28,arkhangel'sk,64.5401,40.5433,10.86,96,100,4.71,RU,1693951246
29,rioja,-29.4111,-66.8507,16.63,59,66,4.91,AR,1693951788
30,laojunmiao,39.8333,97.7333,17.4,41,57,5.63,CN,1693951637
31,ar ruways,24.1103,52.7306,31.65,70,29,3.81,AE,1693951789
32,pandan,14.0453,124.1694,27.12,81,97,1.87,PH,1693951460
33,portland,45.5234,-122.6762,24.3,48,0,4.63,US,1693951280
34,labytnangi,66.6572,66.4183,6.97,76,17,2.51,RU,1693951789
35,yerofey pavlovich,53.9667,121.9667,7.46,70,96,0.56,RU,1693951440
36,an ros,53.5223,-6.0931,18.89,91,40,2.06,IE,1693951789
37,santander jimenez,24.2167,-98.4667,38.33,34,0,10.2,MX,1693951789
38,georgetown,5.4112,100.3354,26.64,97,20,0.0,MY,1693951182
39,aspen,39.1911,-106.8175,23.61,18,0,4.12,US,1693951790
